YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1990,HI,Total Electric Power Industry,Hydroelectric Conventional,79516,0.079516
1990,HI,Total Electric Power Industry,Other Biomass,840005,0.840005
1990,HI,Total Electric Power Industry,Other Gases,16163,0.016163
1990,HI,Total Electric Power Industry,Petroleum,8735862,8.735862
1990,HI,Total Electric Power Industry,Wind,28825,0.028825
1990,IA,Total Electric Power Industry,Total,30044506,30.044506
1990,IA,Total Electric Power Industry,Coal,25751941,25.751941
1990,IA,Total Electric Power Industry,Hydroelectric Conventional,875114,0.875114
1990,IA,Total Electric Power Industry,Natural Gas,333390,0.33339
1990,IA,Total Electric Power Industry,Nuclear,3011572,3.011572
1990,IA,Total Electric Power Industry,Other Biomass,18018,0.018018
1990,IA,Total Electric Power Industry,Petroleum,54471,0.054471
1990,ID,Total Electric Power Industry,Total,9691475,9.691475
1990,ID,Total Electric Power Industry,Coal,44371,0.044371
1990,ID,Total Electric Power Industry,Hydroelectric Conventional,9114990,9.11499
1990,ID,Total Electric Power Industry,Natural Gas,55714,0.055714
1990,ID,Total Electric Power Industry,Petroleum,994,0.000994
1990,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,410203,0.410203
1990,IL,Total Electric Power Industry,Total,129392471,129.392471
1990,IL,Total Electric Power Industry,Coal,54966018,54.966018
1990,IL,Total Electric Power Industry,Hydroelectric Conventional,143926,0.143926
1990,IL,Total Electric Power Industry,Natural Gas,1419891,1.419891
1990,IL,Total Electric Power Industry,Nuclear,71887302,71.887302
1990,IL,Total Electric Power Industry,Other Biomass,154855,0.154855
1990,IL,Total Electric Power Industry,Other Gases,381562,0.381562
1990,IL,Total Electric Power Industry,Petroleum,438584,0.438584
1990,IL,Total Electric Power Industry,Wood and Wood Derived Fuels,333,0.000333
1990,IN,Total Electric Power Industry,Total,101417116,101.417116
1990,IN,Total Electric Power Industry,Coal,96925554,96.925554
1990,IN,Total Electric Power Industry,Hydroelectric Conventional,441021,0.441021
1990,IN,Total Electric Power Industry,Natural Gas,1470837,1.470837
1990,IN,Total Electric Power Industry,Other Biomass,37117,0.037117
1990,IN,Total Electric Power Industry,Other Gases,1674549,1.674549
1990,IN,Total Electric Power Industry,Petroleum,868038,0.868038
1990,KS,Total Electric Power Industry,Total,34184857,34.184857
1990,KS,Total Electric Power Industry,Coal,23720258,23.720258
1990,KS,Total Electric Power Industry,Hydroelectric Conventional,13234,0.013234
1990,KS,Total Electric Power Industry,Natural Gas,2502807,2.502807
1990,KS,Total Electric Power Industry,Nuclear,7874487,7.874487
1990,KS,Total Electric Power Industry,Petroleum,74026,0.074026
1990,KS,Total Electric Power Industry,Wind,45,0.000045
1990,KY,Total Electric Power Industry,Total,73807286,73.807286
1990,KY,Total Electric Power Industry,Coal,70500461,70.500461
1990,KY,Total Electric Power Industry,Hydroelectric Conventional,3160383,3.160383
1990,KY,Total Electric Power Industry,Natural Gas,27796,0.027796
1990,KY,Total Electric Power Industry,Petroleum,118646,0.118646
1990,LA,Total Electric Power Industry,Total,76465630,76.46563
1990,LA,Total Electric Power Industry,Coal,17856687,17.856687
1990,LA,Total Electric Power Industry,Hydroelectric Conventional,656492,0.656492
1990,LA,Total Electric Power Industry,Natural Gas,39474866,39.474866
1990,LA,Total Electric Power Industry,Nuclear,14196784,14.196784
1990,LA,Total Electric Power Industry,Other Biomass,91646,0.091646
1990,LA,Total Electric Power Industry,Other Gases,440700,0.4407
1990,LA,Total Electric Power Industry,Petroleum,232098,0.232098
1990,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,2223538,2.223538
1990,MA,Total Electric Power Industry,Total,39811011,39.811011
1990,MA,Total Electric Power Industry,Coal,11365893,11.365893
1990,MA,Total Electric Power Industry,Hydroelectric Conventional,1249242,1.249242
1990,MA,Total Electric Power Industry,Natural Gas,6132702,6.132702
1990,MA,Total Electric Power Industry,Nuclear,5069620,5.06962
1990,MA,Total Electric Power Industry,Other Biomass,1560515,1.560515
1990,MA,Total Electric Power Industry,Other Gases,830,0.00083
1990,MA,Total Electric Power Industry,Petroleum,15101792,15.101792
1990,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,0
1990,MD,Total Electric Power Industry,Total,33162292,33.162292
1990,MD,Total Electric Power Industry,Coal,23509862,23.509862
1990,MD,Total Electric Power Industry,Hydroelectric Conventional,2298910,2.29891
1990,MD,Total Electric Power Industry,Natural Gas,1522443,1.522443
1990,MD,Total Electric Power Industry,Nuclear,1251416,1.251416
1990,MD,Total Electric Power Industry,Other Biomass,371074,0.371074
1990,MD,Total Electric Power Industry,Other Gases,488197,0.488197
1990,MD,Total Electric Power Industry,Petroleum,3571272,3.571272
1990,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,149118,0.149118
1990,ME,Total Electric Power Industry,Total,15946014,15.946014
