country,birth-rate,mortality-rate-infants,GDP-PC-PPP,Region
Angola,41.281,53.4,6650.58494,Sub-Saharan Africa
Samoa,24.689,14,6495.387727,East Asia & Pacific
Tonga,24.626,13.8,6321.606933,East Asia & Pacific
Nigeria,38.384,76.9,5887.573078,Sub-Saharan Africa
Nicaragua,21.06,15.9,5687.231512,America (Continent)
"Congo, Rep.",33.378,37.1,5614.398974,Sub-Saharan Africa
Pakistan,28.599,58.8,5241.938741,South Asia
Honduras,21.859,15.6,4916.723792,America (Continent)
Sudan,32.542,43.3,4880.261517,Sub-Saharan Africa
Ghana,29.839,36.1,4457.355846,Sub-Saharan Africa
Zambia,36.699,41.5,4090.12004,Sub-Saharan Africa
Mauritania,34.132,52.8,4023.499238,Sub-Saharan Africa
Cambodia,22.889,25.1,4019.679985,East Asia & Pacific
Bangladesh,18.501,26.5,3998.419424,South Asia
Cameroon,35.9,52.2,3644.801096,Sub-Saharan Africa
Senegal,35.12,32.8,3556.137758,Sub-Saharan Africa
"Micronesia, Fed. Sts.",22.937,26.4,3497.917541,East Asia & Pacific
Kenya,29.296,31.8,3258.154499,Sub-Saharan Africa
Lesotho,27.17,68.8,3132.495534,Sub-Saharan Africa
Vanuatu,30.015,22.9,3123.565004,East Asia & Pacific
Tanzania,37.075,38.8,3090.494371,Sub-Saharan Africa
Nepal,20.196,27.6,2874.983331,South Asia
Zimbabwe,31.732,35.4,2825.725122,Sub-Saharan Africa
Comoros,32.365,52.8,2812.034747,Sub-Saharan Africa
"Yemen, Rep.",31.04,42.9,2645.308383,Middle East & North Africa
"Gambia, The",38.967,40,2464.773716,Sub-Saharan Africa
Guinea,36.765,66.3,2369.51917,Sub-Saharan Africa
Benin,36.621,61.9,2276.59573,Sub-Saharan Africa
Mali,42.078,63.6,2221.757886,Sub-Saharan Africa
Rwanda,32.062,28.2,2078.052755,Sub-Saharan Africa
Uganda,38.947,35.2,1945.358604,Sub-Saharan Africa
Afghanistan,33.211,49.5,1934.636754,South Asia
Chad,42.683,73.1,1929.472752,Sub-Saharan Africa
Ethiopia,32.775,40.6,1897.249077,Sub-Saharan Africa
Burkina Faso,38.419,50.4,1866.514733,Sub-Saharan Africa
Madagascar,32.897,39.1,1813.515493,Sub-Saharan Africa
Guinea-Bissau,35.697,55.7,1734.714909,Sub-Saharan Africa
Togo,33.55,48.7,1691.534408,Sub-Saharan Africa
Sierra Leone,33.939,81.3,1544.42929,Sub-Saharan Africa
Mozambique,37.876,55.5,1418.485398,Sub-Saharan Africa
Liberia,33.426,55,1293.415934,Sub-Saharan Africa
Malawi,34.593,36.8,1269.644595,Sub-Saharan Africa
Niger,46.54,49.1,1012.859196,Sub-Saharan Africa
"Congo, Dem. Rep.",41.732,70,888.67728,Sub-Saharan Africa
Central African Republic,35.66,86.5,821.2162029,Sub-Saharan Africa
Burundi,39.646,42.4,737.9785829,Sub-Saharan Africa
