abandon
forsake; leave behind
abandoned
forsaken by owner or inhabitants
absence
the state of being not present
absolute
perfect or complete or pure
absorb
take in a liquid
abuse
cruel or inhumane treatment
academic
associated with an educational institution
accidental
happening by chance or unexpectedly or unintentionally
accidentally
without intention; in an unintentional manner
accuse
blame for; make a claim of wrongdoing or misbehavior against
acid
a sour water-soluble compound with a pH of less than 7
acquire
come into the possession of something concrete or abstract
actively
in an energetic manner
actual
existing in act or fact
adapt
"make fit for, or change to suit a new purpose"
addition
the arithmetic operation of summing
additional
further or extra
adequate
having the requisite qualities or resources to meet a task
adequately
in a sufficient manner
adjust
alter or regulate so as to conform to a standard
admiration
a feeling of delighted approval and liking
adopt
take into one's family
advance
move forward
advertising
the business of drawing attention to goods and services
affair
a vaguely specified social event
affect
have an influence upon
affection
a positive feeling of liking
agent
a representative who acts on behalf of others
aggressive
characteristic of an enemy or one eager to fight
agreement
"harmony of people's opinions, actions, or characters"
aircraft
a vehicle that can fly
alphabetical
arranged in order according to the alphabet
alphabetically
in order from A to Z
alter
cause to change; make different
alternative
one of a number of things from which only one can be chosen
alternatively
"in place of, or as an alternative to"
amuse
"occupy in an agreeable, entertaining or pleasant fashion"
amused
pleasantly occupied
analyse
break down into components or essential features
analysis
abstract separation of something into its various parts
anger
the state of being very annoyed
annually
by the year; every year
anti
not in favor of (an action or proposal etc.)
anxiety
a vague unpleasant emotion in anticipation of a misfortune
anxiously
with anxiety or apprehension
apparent
clearly revealed to the mind or the senses or judgment
apparently
seemingly; as far as one can tell
appeal
earnest or urgent request
appreciate
be fully aware of; realize fully
appropriate
"suitable for a particular person, place, or situation"
approval
the formal act of giving agreement or permission
approximate
not quite exact or correct
armed
having limbs
arms
weapons considered collectively
arrow
projectile with a thin shaft intended to be shot from a bow
artificial
contrived by art rather than nature
artificially
not according to nature; not by natural means
artistic
relating to the products of human creativity
aside
on or to one side
aspect
a characteristic to be considered
assist
give help; be of service
assistance
the activity of contributing to the fulfillment of a need
association
a formal organization of people or groups of people
assume
take to be the case or to be true
assure
inform positively and with certainty and confidence
atom
the smallest component of an element
attached
