a lot
to a very great degree or extent
a.m.
before noon
about
(of quantities) imprecise but fairly close to correct
above
in or to a place that is higher
address
the place where a person or organization can be found
adult
a fully developed person from maturity onward
after
happening at a time subsequent to a reference time
afternoon
the part of the day between noon and evening
again
anew
age
how long something has existed
all
to a complete degree or to the full or entire extent
alright
in a satisfactory or adequate manner
also
in addition
always
at all times; all the time and on every occasion
animal
a living organism characterized by voluntary movement
answer
a statement made to reply to a question or criticism
any
one or some or every or all without specification
apple
a tree widely cultivated for its firm rounded edible fruits
April
the month following March and preceding May
arm
a human limb
as
to the same degree (often followed by `as')
as well
in addition
ask
make a request or demand for something to somebody
at
100 at equal 1 kip in Laos
August
the month following July and preceding September
baby
a very young mammal
back
the posterior part of a human (or animal) body
bad
having undesirable or negative qualities
bag
a flexible container with a single opening
ball
an object with a spherical shape
band
an unofficial association of people or groups
bank
financial institution that accepts deposits and lends money
bar
a rigid piece of metal or wood
bath
a large open container filled with water to wash the body
bathroom
a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
be
have a specified quality or characteristic
beach
an area of sand sloping down to the water of a sea or lake
beard
the hair growing on the lower part of a man's face
beautiful
pleasing to the senses
bed
a piece of furniture that provides a place to sleep
bedroom
a room used primarily for sleeping
beer
an alcoholic beverage made by fermenting a cereal with hops
before
at or in the front
begin
"set in motion, cause to start"
behind
in or to or toward the rear
below
in or to a place that is lower
between
in the interval
big
above average in size or number or quantity
bird
warm-blooded egg-laying vertebrate with feathers and wings
birthday
the date on which a person was born
biscuit
small round bread leavened with baking-powder or soda
black
being of the achromatic color of maximum darkness
blue
of the color intermediate between green and violet
board
a stout length of sawn timber
boat
a small vessel for travel on water
body
an individual 3-dimensional object that has mass
book
an object consisting of a number of pages bound together
bored
uninterested because of frequent exposure or indulgence
boring
so lacking in interest as to cause mental weariness
both
(used with count nouns) two considered together; the two
bottom
the lower side of anything
box
a (usually rectangular) container; may have a lid
boy
a youthful male person
bread
food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
breakfast
the first meal of the day (usually in the morning)
brother
a male with the same parents as someone else
brown
of a color similar to that of wood or earth
bus
a vehicle carrying many passengers
business
the principal activity in one's life to earn money
but
and nothing more
butter
a solid yellow food made from cream
buy
obtain by purchase
bye
a farewell remark
cake
"baked good based on a mixture of flour, sugar, eggs, and fat"
camera
equipment for taking photographs
can
"airtight sealed metal container for food or drink, etc."
better
superior to another in excellence or quality or desirability
car
a motor vehicle with four wheels
carry
"physically move while supporting, by vehicle, hands, or body"
cat
feline mammal usually having thick soft fur
catch
take hold of so as to seize or stop the motion of
CD
a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
cellphone
"a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
chair
"a seat for one person, with a support for the back"
change
become different in some particular way
cheap
relatively low in price or charging low prices
cheese
a solid food prepared from the pressed curd of milk
child
a human offspring (son or daughter) of any age
chip
a small fragment of something broken off from the whole
chocolate
a food made from roasted ground cacao beans
choose
pick out from a number of alternatives
cinema
a medium that disseminates moving pictures
city
a large and densely populated urban area
class
a collection of things sharing a common attribute
classroom
a room in a school where lessons take place
clean
free from dirt or impurities
clever
mentally quick and resourceful
clock
a timepiece that shows the time of day
close
at or within a short distance in space or time
close
at or within a short distance in space or time
closed
not open
clothes
apparel in general
coat
an outer garment that covers the body from shoulder down
coffee
a beverage consisting of an infusion of ground coffee beans
cold
having a low or inadequate temperature
colour
a visual attribute of things from the light they emit
come
"move toward, travel toward"
computer
a machine for performing calculations automatically
conversation
the use of speech for informal exchange of views or ideas
cook
transform by heating
country
the territory occupied by a nation
course
a connected series of events or actions or developments
cow
female of domestic cattle
credit card
a card (usually plastic) that assures a seller that the person using it has a satisfactory credit rating and that the issuer will see to it that the seller receives payment for the merchandise delivered
cup
a small open container usually used for drinking
dad
an informal term for a father
dance
taking a series of rhythmical steps in time to music
dancing
taking a series of rhythmical steps in time to music
dark
devoid of or deficient in light or brightness
date
the specified day of the month
daughter
a female human offspring
day
time for Earth to make a complete rotation on its axis
dear
a beloved person
December
the last (12th) month of the year
desk
a piece of furniture with a writing surface and usually drawers or other compartments
dictionary
a reference book containing an alphabetical list of words
die
lose all bodily functions necessary to sustain life
different
"unlike in nature, quality, form, or degree"
difficult
requiring great physical or mental effort to accomplish
dinner
the main meal of the day served in the evening or at midday
best
having the most positive qualities
doctor
a person who holds Ph.D. degree from an academic institution
dog
a canine domesticated by man since prehistoric times
dollar
the basic monetary unit in many countries
door
a swinging or sliding barrier that will close the entrance to a room or building or vehicle
down
spatially or metaphorically from a higher to a lower level
draw
cause to move by pulling
dress
put on clothes
drink
take in liquids
drive
operate or control a vehicle
driver
someone who drives animals that pull a vehicle
driving
the act of controlling and steering the movement of a vehicle or animal
DVD
a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set
each
(used of count nouns) every one considered individually
ear
the sense organ for hearing and equilibrium
early
at or near the beginning of a period of time or course of events or before the usual or expected time
easy
posing no difficulty; requiring little effort
eat
take in solid food
egg
animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
email
(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
end
either extremity of something that has length
enjoy
derive or receive pleasure from
evening
the latter part of the day
every
(used of count nouns) each and all of the members of a group considered singly and without exception
example
an item of information that is typical of a class or group
excited
in an aroused state
exciting
creating or arousing uncontrolled emotion
expensive
high in price or charging high prices
eye
the organ of sight
face
the front of the human head from the forehead to the chin
factory
a plant with facilities for manufacturing
family
a group of people related to one another
famous
widely known and esteemed
farm
workplace or land used for growing crops or raising animals
fast
"acting, moving, or capable of acting or moving quickly"
fat
a soft greasy substance occurring in organic tissue
father
a male parent
favourite
something regarded with special favor or liking
February
the month following January and preceding March
feel
"be conscious of a physical, mental, or emotional state"
film
a series of moving pictures that tells a story
find
"discover or determine the existence, presence, or fact of"
fine
free from impurities
finish
come or bring to an end
first
preceding all others in time or space or degree
fish
any of various mostly cold-blooded aquatic vertebrates
flat
having a surface without a slope; level
floor
the inside lower horizontal surface
flower
reproductive organ of plants especially if showy or colorful
fly
travel through the air; be airborne
food
any substance that can be metabolized by an animal
foot
the pedal extremity of vertebrates other than human beings
football
any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
cellular
relating to cells
forget
dismiss from the mind; stop remembering
Friday
the sixth day of the week; the fifth working day
friend
a person you know well and regard with affection and trust
fruit
the ripened reproductive body of a seed plant
fun
activities that are enjoyable or amusing
funny
an account of an amusing incident
game
an amusement or pastime
garden
a plot of ground where plants are cultivated
get
come into the possession of something concrete or abstract
girl
a young woman
give
transfer possession of something concrete or abstract
glass
a brittle transparent solid with irregular atomic structure
glasses
optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
go
change location
good
having desirable or positive qualities
goodbye
a farewell remark
grass
narrow-leaved green herbage: grown as lawns
gray
of an achromatic color intermediate between white and black
great
a person who has achieved distinction in some field
green
of the color between blue and yellow in the color spectrum
grey
